12,613,1740,1765
12,716,913,1041
12,762,872,1034
12,852,1656,1728
12,856,1236,1360
12,909,1446,1557
12,958,1436,1566
12,980,1360,1512
12,1620,1656,2064
13,51,104,108
13,65,121,127
13,78,104,117
13,923,1794,1872
13,1755,1794,2236
14,23,70,71
14,28,34,40
14,84,112,126
14,108,114,140
14,119,280,287
14,189,264,293
14,238,606,618
14,301,771,786
14,361,1015,1030
14,545,823,896
14,589,1302,1341
14,634,1050,1122
14,994,1932,2016
14,1890,1932,2408
15,20,25,30
15,42,49,58
15,50,90,95
15,64,297,298
15,82,89,108
15,90,120,135
15,114,230,239
15,170,570,575
15,180,185,230
15,213,281,317
15,228,369,396
15,258,1380,1383
15,276,878,887
15,346,1401,1408
15,383,423,509
15,489,492,618
15,521,1828,1842
15,593,1086,1142
15,605,655,795
15,614,745,864
15,648,1308,1359
15,651,671,833
15,696,921,1038
15,921,1186,1348
15,1048,1452,1615
15,1070,1545,1700
15,1225,1700,1890
16,23,41,44
16,47,108,111
16,51,213,214
16,68,88,100
16,96,128,144
16,136,320,328
16,213,675,682
16,228,992,996
16,363,1101,1114
16,458,472,586
16,470,657,729
16,593,850,937
16,1212,1928,2076
16,1377,1991,2190
16,1572,1910,2214
17,40,86,89
17,57,177,179
17,102,136,153
17,135,640,642
17,175,380,392
17,191,274,302
17,495,1108,1140
17,519,640,738
17,564,807,890
17,687,694,870
18,19,21,28
18,24,30,36
18,60,108,114
18,96,99,123
18,108,144,162
18,110,232,240
18,116,510,512
18,121,167,186
18,137,412,417
18,153,360,369
18,167,193,228
18,193,423,436
18,204,684,690
18,216,222,276
18,349,426,493
18,366,440,512
18,381,540,597
18,537,648,753
18,580,1166,1212
18,705,1330,1393
18,726,786,954
18,732,1160,1250
18,1143,1308,1551
18,1166,1788,1940
18,1262,1284,1604
18,1284,1854,2040
19,53,90,96
19,60,69,82
19,92,101,122
19,93,258,262
19,114,152,171
19,203,679,685
19,362,365,458
19,388,1325,1336
19,528,557,684
19,599,1285,1327
19,1038,1268,1467
20,54,79,87
20,85,110,125
20,89,487,488
